Standard:
Epoch 71: train_loss=1.3089, val_loss=0.8825, acc1=0.8346, acc2=0.9349
Epoch 72: train_loss=1.2973, val_loss=0.8752, acc1=0.8309, acc2=0.9401
Epoch 73: train_loss=1.2730, val_loss=0.8727, acc1=0.8372, acc2=0.9379
Epoch 74: train_loss=1.2694, val_loss=0.8496, acc1=0.8475, acc2=0.9434
Epoch 75: train_loss=1.2860, val_loss=0.8840, acc1=0.8310, acc2=0.9365
Epoch 76: train_loss=1.2550, val_loss=0.8472, acc1=0.8500, acc2=0.9461
Epoch 77: train_loss=1.2771, val_loss=0.8606, acc1=0.8442, acc2=0.9422
Epoch 78: train_loss=1.2870, val_loss=0.8660, acc1=0.8406, acc2=0.9397
Epoch 79: train_loss=1.2443, val_loss=0.8531, acc1=0.8466, acc2=0.9440
Epoch 80: train_loss=1.3137, val_loss=0.8728, acc1=0.8357, acc2=0.9381
Epoch 81: train_loss=1.2366, val_loss=0.8558, acc1=0.8455, acc2=0.9410
Epoch 82: train_loss=1.3134, val_loss=0.8465, acc1=0.8503, acc2=0.9460
Epoch 83: train_loss=1.2458, val_loss=0.8605, acc1=0.8416, acc2=0.9382
Epoch 84: train_loss=1.2577, val_loss=0.8430, acc1=0.8518, acc2=0.9444
Epoch 85: train_loss=1.2983, val_loss=0.8587, acc1=0.8434, acc2=0.9431
Epoch 86: train_loss=1.2612, val_loss=0.8373, acc1=0.8553, acc2=0.9485
Epoch 87: train_loss=1.2521, val_loss=0.8452, acc1=0.8500, acc2=0.9445
Epoch 88: train_loss=1.2621, val_loss=0.8530, acc1=0.8498, acc2=0.9440
Epoch 89: train_loss=1.2698, val_loss=0.8446, acc1=0.8487, acc2=0.9422
Epoch 90: train_loss=1.2800, val_loss=0.8600, acc1=0.8424, acc2=0.9391
Epoch 91: train_loss=1.2403, val_loss=0.8338, acc1=0.8518, acc2=0.9449
Epoch 92: train_loss=1.2662, val_loss=0.8460, acc1=0.8514, acc2=0.9440
Epoch 93: train_loss=1.2172, val_loss=0.8482, acc1=0.8476, acc2=0.9457
Epoch 94: train_loss=1.2740, val_loss=0.8380, acc1=0.8559, acc2=0.9440
Epoch 95: train_loss=1.2437, val_loss=0.8353, acc1=0.8557, acc2=0.9454
Epoch 96: train_loss=1.2253, val_loss=0.8338, acc1=0.8543, acc2=0.9457
Epoch 97: train_loss=1.2383, val_loss=0.8299, acc1=0.8573, acc2=0.9466
Epoch 98: train_loss=1.2318, val_loss=0.8307, acc1=0.8569, acc2=0.9450
Epoch 99: train_loss=1.2097, val_loss=0.8344, acc1=0.8565, acc2=0.9498
Epoch 100: train_loss=1.2437, val_loss=0.8317, acc1=0.8562, acc2=0.9459
Epoch 101: train_loss=1.2281, val_loss=0.8289, acc1=0.8548, acc2=0.9463
Epoch 102: train_loss=1.2459, val_loss=0.8299, acc1=0.8569, acc2=0.9486
Epoch 103: train_loss=1.2128, val_loss=0.8112, acc1=0.8635, acc2=0.9502
Epoch 104: train_loss=1.1845, val_loss=0.8204, acc1=0.8616, acc2=0.9476
Epoch 105: train_loss=1.1837, val_loss=0.8257, acc1=0.8547, acc2=0.9467
Epoch 106: train_loss=1.2219, val_loss=0.8339, acc1=0.8517, acc2=0.9471
Epoch 107: train_loss=1.2080, val_loss=0.8355, acc1=0.8531, acc2=0.9446
Epoch 108: train_loss=1.2210, val_loss=0.8229, acc1=0.8597, acc2=0.9491
Epoch 109: train_loss=1.1571, val_loss=0.8144, acc1=0.8659, acc2=0.9495
Epoch 110: train_loss=1.2379, val_loss=0.8188, acc1=0.8641, acc2=0.9472
Epoch 111: train_loss=1.2095, val_loss=0.8311, acc1=0.8581, acc2=0.9459
Epoch 112: train_loss=1.2195, val_loss=0.8152, acc1=0.8629, acc2=0.9530
Epoch 113: train_loss=1.1976, val_loss=0.8052, acc1=0.8666, acc2=0.9488
Epoch 114: train_loss=1.2463, val_loss=0.8207, acc1=0.8600, acc2=0.9461
Epoch 115: train_loss=1.2199, val_loss=0.8076, acc1=0.8643, acc2=0.9510
Epoch 116: train_loss=1.2096, val_loss=0.8022, acc1=0.8684, acc2=0.9531
Epoch 117: train_loss=1.1880, val_loss=0.8128, acc1=0.8637, acc2=0.9508
Epoch 118: train_loss=1.2348, val_loss=0.8352, acc1=0.8560, acc2=0.9462
Epoch 119: train_loss=1.2186, val_loss=0.8209, acc1=0.8614, acc2=0.9475
Epoch 120: train_loss=1.2115, val_loss=0.8092, acc1=0.8660, acc2=0.9480
Epoch 121: train_loss=1.1613, val_loss=0.8000, acc1=0.8700, acc2=0.9535
Epoch 122: train_loss=1.1929, val_loss=0.8192, acc1=0.8629, acc2=0.9478
Epoch 123: train_loss=1.1741, val_loss=0.8048, acc1=0.8708, acc2=0.9508
Epoch 124: train_loss=1.1758, val_loss=0.8360, acc1=0.8553, acc2=0.9439
Epoch 125: train_loss=1.1875, val_loss=0.8066, acc1=0.8663, acc2=0.9496
Epoch 126: train_loss=1.1904, val_loss=0.7981, acc1=0.8703, acc2=0.9524
Epoch 127: train_loss=1.2163, val_loss=0.8035, acc1=0.8693, acc2=0.9495
Epoch 128: train_loss=1.2015, val_loss=0.8041, acc1=0.8681, acc2=0.9533
Epoch 129: train_loss=1.1811, val_loss=0.8066, acc1=0.8695, acc2=0.9514
Epoch 130: train_loss=1.1817, val_loss=0.8036, acc1=0.8675, acc2=0.9504
Epoch 131: train_loss=1.2050, val_loss=0.7974, acc1=0.8690, acc2=0.9537
Epoch 132: train_loss=1.1880, val_loss=0.7970, acc1=0.8722, acc2=0.9521
Epoch 133: train_loss=1.1736, val_loss=0.7957, acc1=0.8723, acc2=0.9526
Epoch 134: train_loss=1.1872, val_loss=0.8009, acc1=0.8734, acc2=0.9517
Epoch 135: train_loss=1.1755, val_loss=0.7989, acc1=0.8723, acc2=0.9521
Epoch 136: train_loss=1.1427, val_loss=0.7999, acc1=0.8715, acc2=0.9518
Epoch 137: train_loss=1.1551, val_loss=0.7964, acc1=0.8705, acc2=0.9528
Epoch 138: train_loss=1.1579, val_loss=0.7946, acc1=0.8702, acc2=0.9552
Epoch 139: train_loss=1.1553, val_loss=0.8033, acc1=0.8706, acc2=0.9509
Epoch 140: train_loss=1.1761, val_loss=0.7940, acc1=0.8733, acc2=0.9546
Epoch 141: train_loss=1.1778, val_loss=0.7851, acc1=0.8765, acc2=0.9560
Epoch 142: train_loss=1.1198, val_loss=0.7873, acc1=0.8744, acc2=0.9569
Epoch 143: train_loss=1.1435, val_loss=0.8002, acc1=0.8688, acc2=0.9536
Epoch 144: train_loss=1.1541, val_loss=0.7859, acc1=0.8759, acc2=0.9544
Epoch 145: train_loss=1.1502, val_loss=0.7876, acc1=0.8768, acc2=0.9544
Epoch 146: train_loss=1.1424, val_loss=0.8046, acc1=0.8670, acc2=0.9518
Epoch 147: train_loss=1.1795, val_loss=0.7880, acc1=0.8757, acc2=0.9534
Epoch 148: train_loss=1.1172, val_loss=0.7883, acc1=0.8729, acc2=0.9563
Epoch 149: train_loss=1.1394, val_loss=0.7846, acc1=0.8769, acc2=0.9544
Epoch 150: train_loss=1.1624, val_loss=0.7867, acc1=0.8775, acc2=0.9563
Epoch 151: train_loss=1.1502, val_loss=0.7949, acc1=0.8750, acc2=0.9520
Epoch 152: train_loss=1.1651, val_loss=0.7908, acc1=0.8757, acc2=0.9525
Epoch 153: train_loss=1.1416, val_loss=0.7833, acc1=0.8758, acc2=0.9553
Epoch 154: train_loss=1.1636, val_loss=0.7846, acc1=0.8765, acc2=0.9570
Epoch 155: train_loss=1.1458, val_loss=0.7897, acc1=0.8779, acc2=0.9536
Epoch 156: train_loss=1.1768, val_loss=0.7876, acc1=0.8755, acc2=0.9567
Epoch 157: train_loss=1.1116, val_loss=0.7763, acc1=0.8820, acc2=0.9563
Epoch 158: train_loss=1.1291, val_loss=0.7850, acc1=0.8786, acc2=0.9528
Epoch 159: train_loss=1.0978, val_loss=0.7675, acc1=0.8835, acc2=0.9597
Epoch 160: train_loss=1.1246, val_loss=0.7806, acc1=0.8799, acc2=0.9590
Epoch 161: train_loss=1.1644, val_loss=0.7817, acc1=0.8787, acc2=0.9557
Epoch 162: train_loss=1.1409, val_loss=0.7785, acc1=0.8795, acc2=0.9578
Epoch 163: train_loss=1.1444, val_loss=0.7800, acc1=0.8799, acc2=0.9578
Epoch 164: train_loss=1.1708, val_loss=0.7918, acc1=0.8753, acc2=0.9559
Epoch 165: train_loss=1.0643, val_loss=0.7767, acc1=0.8812, acc2=0.9587
Epoch 166: train_loss=1.1449, val_loss=0.7812, acc1=0.8763, acc2=0.9575
Epoch 167: train_loss=1.0906, val_loss=0.7737, acc1=0.8829, acc2=0.9597
Epoch 168: train_loss=1.1050, val_loss=0.7750, acc1=0.8835, acc2=0.9574
Epoch 169: train_loss=1.1776, val_loss=0.7660, acc1=0.8885, acc2=0.9599
Epoch 170: train_loss=1.1157, val_loss=0.7872, acc1=0.8792, acc2=0.9557
Epoch 171: train_loss=1.1263, val_loss=0.7728, acc1=0.8824, acc2=0.9585
Epoch 172: train_loss=1.1293, val_loss=0.7714, acc1=0.8829, acc2=0.9599
Epoch 173: train_loss=1.1321, val_loss=0.7645, acc1=0.8861, acc2=0.9621
Epoch 174: train_loss=1.1509, val_loss=0.7725, acc1=0.8849, acc2=0.9592
Epoch 175: train_loss=1.1068, val_loss=0.7809, acc1=0.8805, acc2=0.9599
Epoch 176: train_loss=1.1570, val_loss=0.7676, acc1=0.8855, acc2=0.9607
Epoch 177: train_loss=1.1265, val_loss=0.7780, acc1=0.8818, acc2=0.9569
Epoch 178: train_loss=1.1239, val_loss=0.7729, acc1=0.8832, acc2=0.9572
Epoch 179: train_loss=1.0844, val_loss=0.7742, acc1=0.8893, acc2=0.9577
Epoch 180: train_loss=1.0940, val_loss=0.7739, acc1=0.8871, acc2=0.9593
Epoch 181: train_loss=1.1227, val_loss=0.7756, acc1=0.8866, acc2=0.9587
Epoch 182: train_loss=1.0709, val_loss=0.7734, acc1=0.8846, acc2=0.9575
Epoch 183: train_loss=1.1356, val_loss=0.7656, acc1=0.8854, acc2=0.9599
Epoch 184: train_loss=1.0660, val_loss=0.7646, acc1=0.8886, acc2=0.9585
Epoch 185: train_loss=1.0861, val_loss=0.7647, acc1=0.8882, acc2=0.9603
Epoch 186: train_loss=1.1226, val_loss=0.7599, acc1=0.8902, acc2=0.9603
Epoch 187: train_loss=1.1241, val_loss=0.7601, acc1=0.8897, acc2=0.9635
Epoch 188: train_loss=1.0814, val_loss=0.7634, acc1=0.8882, acc2=0.9591
Epoch 189: train_loss=1.0835, val_loss=0.7684, acc1=0.8876, acc2=0.9584
Epoch 190: train_loss=1.1019, val_loss=0.7715, acc1=0.8841, acc2=0.9591
Epoch 191: train_loss=1.0780, val_loss=0.7586, acc1=0.8920, acc2=0.9614
Epoch 192: train_loss=1.0636, val_loss=0.7662, acc1=0.8870, acc2=0.9608
Epoch 193: train_loss=1.0910, val_loss=0.7674, acc1=0.8889, acc2=0.9594
Epoch 194: train_loss=1.1083, val_loss=0.7824, acc1=0.8817, acc2=0.9549
Epoch 195: train_loss=1.0670, val_loss=0.7634, acc1=0.8892, acc2=0.9609
Epoch 196: train_loss=1.0824, val_loss=0.7701, acc1=0.8871, acc2=0.9580
Epoch 197: train_loss=1.0843, val_loss=0.7594, acc1=0.8911, acc2=0.9605
Epoch 198: train_loss=1.0970, val_loss=0.7600, acc1=0.8924, acc2=0.9622
Epoch 199: train_loss=1.0530, val_loss=0.7618, acc1=0.8880, acc2=0.9621
Epoch 200: train_loss=1.0935, val_loss=0.7652, acc1=0.8881, acc2=0.9602
Epoch 201: train_loss=1.0853, val_loss=0.7611, acc1=0.8883, acc2=0.9616
Epoch 202: train_loss=1.0537, val_loss=0.7645, acc1=0.8903, acc2=0.9598
Epoch 203: train_loss=1.0979, val_loss=0.7555, acc1=0.8915, acc2=0.9578
Epoch 204: train_loss=1.0574, val_loss=0.7673, acc1=0.8870, acc2=0.9580
Epoch 205: train_loss=1.0515, val_loss=0.7611, acc1=0.8897, acc2=0.9609
Epoch 206: train_loss=1.0614, val_loss=0.7641, acc1=0.8888, acc2=0.9606
Epoch 207: train_loss=1.0830, val_loss=0.7590, acc1=0.8902, acc2=0.9616
Epoch 208: train_loss=1.0572, val_loss=0.7627, acc1=0.8900, acc2=0.9612
Epoch 209: train_loss=1.0493, val_loss=0.7592, acc1=0.8927, acc2=0.9626
Epoch 210: train_loss=1.0633, val_loss=0.7514, acc1=0.8952, acc2=0.9634
Epoch 211: train_loss=1.0870, val_loss=0.7516, acc1=0.8936, acc2=0.9612
Epoch 212: train_loss=1.0539, val_loss=0.7531, acc1=0.8939, acc2=0.9621
Epoch 213: train_loss=1.0372, val_loss=0.7524, acc1=0.8926, acc2=0.9631
Epoch 214: train_loss=1.0254, val_loss=0.7531, acc1=0.8949, acc2=0.9609
Epoch 215: train_loss=1.0757, val_loss=0.7546, acc1=0.8935, acc2=0.9615
Epoch 216: train_loss=1.0541, val_loss=0.7507, acc1=0.8944, acc2=0.9616
Epoch 217: train_loss=1.1010, val_loss=0.7487, acc1=0.8946, acc2=0.9648
Epoch 218: train_loss=1.0399, val_loss=0.7533, acc1=0.8935, acc2=0.9625
Epoch 219: train_loss=1.0537, val_loss=0.7476, acc1=0.8964, acc2=0.9620
Epoch 220: train_loss=1.0618, val_loss=0.7474, acc1=0.8962, acc2=0.9640
Epoch 221: train_loss=1.0825, val_loss=0.7469, acc1=0.8962, acc2=0.9627
Epoch 222: train_loss=1.0638, val_loss=0.7447, acc1=0.8984, acc2=0.9644
Epoch 223: train_loss=1.0574, val_loss=0.7537, acc1=0.8947, acc2=0.9609
Epoch 224: train_loss=1.0332, val_loss=0.7472, acc1=0.8967, acc2=0.9620
Epoch 225: train_loss=1.0157, val_loss=0.7531, acc1=0.8948, acc2=0.9620
Epoch 226: train_loss=1.0459, val_loss=0.7507, acc1=0.8981, acc2=0.9624
Epoch 227: train_loss=1.0530, val_loss=0.7510, acc1=0.8930, acc2=0.9627
Epoch 228: train_loss=1.0383, val_loss=0.7479, acc1=0.8958, acc2=0.9628
Epoch 229: train_loss=1.0976, val_loss=0.7481, acc1=0.8982, acc2=0.9632
Epoch 230: train_loss=1.0754, val_loss=0.7460, acc1=0.8985, acc2=0.9626
Epoch 231: train_loss=1.0527, val_loss=0.7481, acc1=0.8969, acc2=0.9630
Epoch 232: train_loss=1.0918, val_loss=0.7485, acc1=0.8965, acc2=0.9624
Epoch 233: train_loss=1.0199, val_loss=0.7492, acc1=0.8982, acc2=0.9613
Epoch 234: train_loss=1.0413, val_loss=0.7444, acc1=0.8987, acc2=0.9636
Epoch 235: train_loss=1.0668, val_loss=0.7459, acc1=0.8971, acc2=0.9631
Epoch 236: train_loss=0.9863, val_loss=0.7448, acc1=0.8979, acc2=0.9617
Epoch 237: train_loss=1.0610, val_loss=0.7457, acc1=0.8993, acc2=0.9643
Epoch 238: train_loss=1.0581, val_loss=0.7458, acc1=0.9008, acc2=0.9621
Epoch 239: train_loss=1.0432, val_loss=0.7493, acc1=0.8995, acc2=0.9617
Epoch 240: train_loss=1.0256, val_loss=0.7461, acc1=0.8990, acc2=0.9625
Epoch 241: train_loss=1.0245, val_loss=0.7440, acc1=0.9010, acc2=0.9654
Epoch 242: train_loss=1.0503, val_loss=0.7450, acc1=0.8983, acc2=0.9644
Epoch 243: train_loss=1.0712, val_loss=0.7452, acc1=0.9002, acc2=0.9640
Epoch 244: train_loss=1.0292, val_loss=0.7386, acc1=0.9011, acc2=0.9627
Epoch 245: train_loss=1.0203, val_loss=0.7485, acc1=0.8998, acc2=0.9643
Epoch 246: train_loss=1.0296, val_loss=0.7447, acc1=0.9004, acc2=0.9645
Epoch 247: train_loss=1.0424, val_loss=0.7403, acc1=0.8988, acc2=0.9660
Epoch 248: train_loss=1.0006, val_loss=0.7401, acc1=0.9009, acc2=0.9664
Epoch 249: train_loss=1.0239, val_loss=0.7408, acc1=0.9004, acc2=0.9665
Epoch 250: train_loss=1.0090, val_loss=0.7432, acc1=0.8996, acc2=0.9656
Epoch 251: train_loss=1.0493, val_loss=0.7396, acc1=0.9000, acc2=0.9652
Epoch 252: train_loss=1.0079, val_loss=0.7414, acc1=0.8973, acc2=0.9651
Epoch 253: train_loss=1.0137, val_loss=0.7468, acc1=0.8970, acc2=0.9620
Epoch 254: train_loss=1.0071, val_loss=0.7410, acc1=0.9017, acc2=0.9650
Epoch 255: train_loss=1.0662, val_loss=0.7397, acc1=0.9013, acc2=0.9645
Epoch 256: train_loss=0.9965, val_loss=0.7379, acc1=0.9027, acc2=0.9655
Epoch 257: train_loss=1.0165, val_loss=0.7386, acc1=0.9024, acc2=0.9657
Epoch 258: train_loss=1.0032, val_loss=0.7408, acc1=0.8998, acc2=0.9640
Epoch 259: train_loss=1.0532, val_loss=0.7386, acc1=0.9012, acc2=0.9657
Epoch 260: train_loss=0.9983, val_loss=0.7388, acc1=0.9027, acc2=0.9651
Epoch 261: train_loss=1.0165, val_loss=0.7380, acc1=0.9040, acc2=0.9650
Epoch 262: train_loss=1.0109, val_loss=0.7377, acc1=0.9006, acc2=0.9661
Epoch 263: train_loss=1.0095, val_loss=0.7392, acc1=0.9018, acc2=0.9632
Epoch 264: train_loss=0.9841, val_loss=0.7364, acc1=0.9028, acc2=0.9647
Epoch 265: train_loss=1.0302, val_loss=0.7328, acc1=0.9015, acc2=0.9647
Epoch 266: train_loss=0.9873, val_loss=0.7338, acc1=0.9027, acc2=0.9654
Epoch 267: train_loss=1.0255, val_loss=0.7332, acc1=0.9028, acc2=0.9659
Epoch 268: train_loss=1.0342, val_loss=0.7355, acc1=0.9036, acc2=0.9646
Epoch 269: train_loss=1.0080, val_loss=0.7334, acc1=0.9029, acc2=0.9657
Epoch 270: train_loss=1.0301, val_loss=0.7354, acc1=0.9035, acc2=0.9646
Epoch 271: train_loss=1.0134, val_loss=0.7316, acc1=0.9041, acc2=0.9666
Epoch 272: train_loss=1.0269, val_loss=0.7323, acc1=0.9048, acc2=0.9672
Epoch 273: train_loss=1.0178, val_loss=0.7326, acc1=0.9042, acc2=0.9668
Epoch 274: train_loss=1.0616, val_loss=0.7337, acc1=0.9050, acc2=0.9658
Epoch 275: train_loss=1.0618, val_loss=0.7339, acc1=0.9040, acc2=0.9655
Epoch 276: train_loss=1.0160, val_loss=0.7334, acc1=0.9036, acc2=0.9651
Epoch 277: train_loss=1.0012, val_loss=0.7334, acc1=0.9041, acc2=0.9657
Epoch 278: train_loss=1.0066, val_loss=0.7339, acc1=0.9058, acc2=0.9659
Epoch 279: train_loss=1.0185, val_loss=0.7336, acc1=0.9035, acc2=0.9659
Epoch 280: train_loss=1.0200, val_loss=0.7330, acc1=0.9037, acc2=0.9653
Epoch 281: train_loss=1.0235, val_loss=0.7327, acc1=0.9043, acc2=0.9652
Epoch 282: train_loss=0.9890, val_loss=0.7329, acc1=0.9033, acc2=0.9664
Epoch 283: train_loss=1.0334, val_loss=0.7320, acc1=0.9044, acc2=0.9668
Epoch 284: train_loss=0.9896, val_loss=0.7333, acc1=0.9030, acc2=0.9655
Epoch 285: train_loss=0.9815, val_loss=0.7322, acc1=0.9043, acc2=0.9662
Epoch 286: train_loss=0.9918, val_loss=0.7332, acc1=0.9045, acc2=0.9664
Epoch 287: train_loss=1.0052, val_loss=0.7323, acc1=0.9040, acc2=0.9665
Epoch 288: train_loss=1.0054, val_loss=0.7316, acc1=0.9043, acc2=0.9663
Epoch 289: train_loss=1.0008, val_loss=0.7318, acc1=0.9038, acc2=0.9665
Epoch 290: train_loss=1.0119, val_loss=0.7328, acc1=0.9047, acc2=0.9661
Epoch 291: train_loss=1.0260, val_loss=0.7326, acc1=0.9050, acc2=0.9660
Epoch 292: train_loss=1.0033, val_loss=0.7326, acc1=0.9044, acc2=0.9662
Epoch 293: train_loss=1.0154, val_loss=0.7324, acc1=0.9042, acc2=0.9654
Epoch 294: train_loss=1.0046, val_loss=0.7321, acc1=0.9038, acc2=0.9663
Epoch 295: train_loss=0.9902, val_loss=0.7328, acc1=0.9034, acc2=0.9657
Epoch 296: train_loss=1.0112, val_loss=0.7317, acc1=0.9040, acc2=0.9659
Epoch 297: train_loss=0.9248, val_loss=0.7324, acc1=0.9043, acc2=0.9660
Epoch 298: train_loss=0.9991, val_loss=0.7322, acc1=0.9034, acc2=0.9656
Epoch 299: train_loss=1.0393, val_loss=0.7322, acc1=0.9042, acc2=0.9656
Epoch 300: train_loss=0.9791, val_loss=0.7324, acc1=0.9047, acc2=0.9658

Hybrid:
Epoch 0: train_loss=2.1056, val_loss=1.8205, acc1=0.3760, acc2=0.6006
Epoch 1: train_loss=1.9773, val_loss=1.6747, acc1=0.4530, acc2=0.6827
Epoch 2: train_loss=1.8985, val_loss=1.5362, acc1=0.5358, acc2=0.7417
Epoch 3: train_loss=1.8356, val_loss=1.4293, acc1=0.5723, acc2=0.7845
Epoch 4: train_loss=1.8060, val_loss=1.4062, acc1=0.5929, acc2=0.7825
Epoch 5: train_loss=1.7755, val_loss=1.3687, acc1=0.6121, acc2=0.8108
Epoch 6: train_loss=1.7228, val_loss=1.3005, acc1=0.6441, acc2=0.8250
Epoch 7: train_loss=1.6848, val_loss=1.2903, acc1=0.6437, acc2=0.8240
Epoch 8: train_loss=1.6453, val_loss=1.2236, acc1=0.6769, acc2=0.8497
