Standard:
epoch,train_loss,val_loss,val_acc,top2_acc
9,1.3232,1.9887,0.2570,0.4598
10,1.2698,1.9607,0.2735,0.4747
11,1.2513,1.9281,0.2934,0.4901
12,1.2214,1.8939,0.3092,0.5033
13,1.2232,1.8458,0.3292,0.5242
14,1.2139,1.7907,0.3514,0.5497
15,1.1471,1.7211,0.3785,0.5795
16,1.1572,1.6442,0.4065,0.6106
17,1.1408,1.5540,0.4423,0.6440
18,1.1614,1.4617,0.4804,0.6773
19,1.0787,1.3714,0.5152,0.7095
20,1.0906,1.2800,0.5518,0.7414
21,1.0393,1.1890,0.5886,0.7685
22,1.0327,1.1017,0.6233,0.7967
23,1.0204,1.0255,0.6524,0.8187
24,1.0483,0.9591,0.6773,0.8354
25,1.0264,0.8992,0.6972,0.8507
26,1.0113,0.8450,0.7178,0.8630
27,0.9830,0.7977,0.7330,0.8754
28,0.9788,0.7549,0.7469,0.8840
29,0.9681,0.7156,0.7588,0.8933
30,0.9325,0.6809,0.7690,0.8993
31,0.9768,0.6492,0.7804,0.9071
32,0.9348,0.6201,0.7895,0.9139
33,0.9517,0.5930,0.7989,0.9205
34,0.9271,0.5687,0.8070,0.9248
35,0.9254,0.5469,0.8137,0.9290
36,0.8911,0.5259,0.8209,0.9325
37,0.9174,0.5073,0.8285,0.9355
38,0.9383,0.4906,0.8342,0.9383
39,0.8997,0.4751,0.8391,0.9404
40,0.8958,0.4605,0.8438,0.9422
41,0.8785,0.4471,0.8475,0.9452
42,0.8551,0.4351,0.8498,0.9456
43,0.8377,0.4236,0.8553,0.9474
44,0.8511,0.4126,0.8591,0.9490
45,0.8313,0.4023,0.8611,0.9504
46,0.7929,0.3924,0.8670,0.9528
47,0.7995,0.3833,0.8711,0.9547
48,0.8201,0.3749,0.8741,0.9558
49,0.8533,0.3678,0.8768,0.9559
50,0.8400,0.3607,0.8785,0.9572
51,0.8401,0.3543,0.8804,0.9587
52,0.7802,0.3483,0.8817,0.9597
53,0.7915,0.3424,0.8835,0.9605
54,0.8069,0.3370,0.8854,0.9618
55,0.7748,0.3320,0.8876,0.9623
56,0.7597,0.3274,0.8898,0.9627
57,0.7532,0.3233,0.8913,0.9630
58,0.7994,0.3193,0.8926,0.9636
59,0.7056,0.3156,0.8937,0.9641
60,0.7705,0.3119,0.8956,0.9645
61,0.7264,0.3085,0.8968,0.9647
62,0.7253,0.3055,0.8984,0.9653
63,0.7406,0.3026,0.8990,0.9661
64,0.6640,0.2999,0.9005,0.9667
65,0.7182,0.2973,0.9018,0.9674
66,0.7746,0.2949,0.9027,0.9679
67,0.7396,0.2924,0.9045,0.9678
68,0.7425,0.2901,0.9057,0.9684
69,0.6996,0.2880,0.9065,0.9686
70,0.6952,0.2861,0.9072,0.9685
71,0.7328,0.2842,0.9082,0.9689
72,0.7220,0.2825,0.9089,0.9691
73,0.7029,0.2809,0.9095,0.9694
74,0.7487,0.2792,0.9098,0.9697
75,0.6571,0.2777,0.9106,0.9702
76,0.7248,0.2762,0.9110,0.9704
77,0.7270,0.2749,0.9116,0.9708
78,0.6961,0.2735,0.9124,0.9712
79,0.6949,0.2721,0.9125,0.9715
80,0.6508,0.2709,0.9130,0.9716
81,0.7035,0.2697,0.9133,0.9718
82,0.7081,0.2687,0.9138,0.9715
83,0.7016,0.2677,0.9148,0.9717
84,0.6248,0.2667,0.9152,0.9720
85,0.6597,0.2658,0.9160,0.9720
86,0.6889,0.2649,0.9166,0.9722
87,0.6464,0.2641,0.9176,0.9726
88,0.6555,0.2632,0.9179,0.9729
89,0.6188,0.2625,0.9185,0.9727
90,0.6516,0.2618,0.9187,0.9730
91,0.6681,0.2611,0.9188,0.9730
92,0.6633,0.2606,0.9187,0.9731
93,0.6616,0.2600,0.9195,0.9731
94,0.6367,0.2594,0.9195,0.9734
95,0.7283,0.2588,0.9196,0.9733
96,0.6761,0.2583,0.9201,0.9734
97,0.6878,0.2578,0.9207,0.9735
98,0.6280,0.2573,0.9211,0.9735
99,0.6904,0.2569,0.9210,0.9736
100,0.7997,0.2559,0.9211,0.9738
101,0.8809,0.2548,0.9207,0.9745
102,0.8568,0.2539,0.9209,0.9748
103,0.8577,0.2529,0.9218,0.9750
104,0.8441,0.2519,0.9224,0.9754
105,0.8171,0.2514,0.9222,0.9750
106,0.8315,0.2508,0.9221,0.9752
107,0.8488,0.2502,0.9223,0.9749
108,0.8271,0.2497,0.9220,0.9751
109,0.7945,0.2492,0.9219,0.9750
110,0.8024,0.2489,0.9218,0.9752
111,0.8090,0.2482,0.9213,0.9762
112,0.8576,0.2475,0.9220,0.9765
113,0.7891,0.2467,0.9226,0.9769
114,0.7993,0.2463,0.9230,0.9769
115,0.8092,0.2461,0.9227,0.9771
116,0.7921,0.2459,0.9224,0.9770
117,0.7875,0.2457,0.9221,0.9769
118,0.7855,0.2454,0.9215,0.9769
119,0.7745,0.2449,0.9217,0.9771
120,0.7849,0.2445,0.9215,0.9775
121,0.8184,0.2442,0.9218,0.9782
122,0.8085,0.2440,0.9228,0.9783
123,0.7856,0.2437,0.9233,0.9786
124,0.7852,0.2435,0.9232,0.9784
125,0.8077,0.2430,0.9233,0.9779
126,0.7561,0.2426,0.9236,0.9777
127,0.7702,0.2421,0.9242,0.9777
128,0.8181,0.2414,0.9246,0.9776
129,0.7467,0.2411,0.9243,0.9777
130,0.7529,0.2408,0.9238,0.9768
131,0.7683,0.2401,0.9238,0.9766
132,0.7455,0.2397,0.9232,0.9768
133,0.8383,0.2392,0.9228,0.9771
134,0.7781,0.2387,0.9231,0.9776
135,0.7509,0.2383,0.9231,0.9776
136,0.7507,0.2379,0.9232,0.9778
137,0.7717,0.2376,0.9241,0.9781
138,0.7530,0.2374,0.9238,0.9784
139,0.7266,0.2371,0.9235,0.9783
140,0.7234,0.2366,0.9239,0.9783
141,0.7890,0.2359,0.9239,0.9784
142,0.7421,0.2357,0.9242,0.9785
143,0.7469,0.2355,0.9236,0.9788
144,0.7424,0.2353,0.9243,0.9790
145,0.7630,0.2350,0.9247,0.9791
146,0.7674,0.2345,0.9253,0.9792
147,0.7078,0.2342,0.9254,0.9793
148,0.7596,0.2337,0.9250,0.9792
149,0.6905,0.2332,0.9257,0.9788
150,0.6964,0.2329,0.9263,0.9791
151,0.7420,0.2327,0.9264,0.9791
152,0.7335,0.2325,0.9271,0.9795
153,0.7136,0.2324,0.9273,0.9792
154,0.7380,0.2322,0.9273,0.9792
155,0.7156,0.2318,0.9279,0.9794
156,0.7141,0.2316,0.9276,0.9796
157,0.7038,0.2314,0.9282,0.9797
158,0.7333,0.2310,0.9284,0.9796
159,0.7250,0.2305,0.9284,0.9798
160,0.6994,0.2301,0.9285,0.9800
161,0.7266,0.2297,0.9288,0.9801
162,0.6912,0.2292,0.9296,0.9799
163,0.6977,0.2288,0.9297,0.9795
164,0.6431,0.2285,0.9296,0.9796
165,0.6800,0.2282,0.9298,0.9797
166,0.6865,0.2276,0.9302,0.9803
167,0.6644,0.2272,0.9303,0.9805
168,0.6363,0.2269,0.9305,0.9807
169,0.6538,0.2264,0.9311,0.9809
170,0.6764,0.2258,0.9316,0.9808
171,0.6660,0.2253,0.9312,0.9809
172,0.6992,0.2250,0.9310,0.9808
173,0.6641,0.2245,0.9312,0.9804
174,0.6349,0.2243,0.9314,0.9807
175,0.6822,0.2239,0.9315,0.9804
176,0.6391,0.2235,0.9319,0.9802
177,0.6448,0.2230,0.9323,0.9800
178,0.6754,0.2226,0.9326,0.9800
179,0.6909,0.2223,0.9325,0.9799
180,0.6823,0.2219,0.9327,0.9802
181,0.7098,0.2218,0.9329,0.9799
182,0.6379,0.2215,0.9332,0.9804
183,0.7191,0.2210,0.9336,0.9804
184,0.6088,0.2207,0.9346,0.9807
185,0.6678,0.2204,0.9343,0.9810
186,0.6379,0.2199,0.9348,0.9811
187,0.6136,0.2193,0.9357,0.9810
188,0.5979,0.2189,0.9359,0.9813
189,0.6892,0.2185,0.9364,0.9813
190,0.6193,0.2182,0.9362,0.9813
191,0.6694,0.2180,0.9366,0.9811
192,0.6184,0.2180,0.9370,0.9816
193,0.6325,0.2180,0.9367,0.9815
194,0.6234,0.2178,0.9365,0.9815
195,0.6083,0.2174,0.9369,0.9814
196,0.6506,0.2170,0.9371,0.9818
197,0.6374,0.2168,0.9375,0.9814
198,0.6224,0.2165,0.9377,0.9813
199,0.6836,0.2162,0.9379,0.9814
200,0.6326,0.2160,0.9379,0.9813
201,0.6368,0.2159,0.9377,0.9816
202,0.5893,0.2157,0.9373,0.9813
203,0.5799,0.2154,0.9373,0.9815
204,0.6365,0.2151,0.9380,0.9813
205,0.6058,0.2149,0.9381,0.9813
206,0.6014,0.2147,0.9389,0.9813
207,0.6386,0.2145,0.9392,0.9809
208,0.5927,0.2143,0.9396,0.9808
209,0.5042,0.2141,0.9393,0.9813
210,0.6195,0.2139,0.9392,0.9814
211,0.5958,0.2137,0.9391,0.9815
212,0.6359,0.2134,0.9394,0.9814
213,0.5729,0.2134,0.9396,0.9814
214,0.5873,0.2135,0.9397,0.9812
215,0.6127,0.2134,0.9393,0.9812
216,0.5921,0.2135,0.9391,0.9811
217,0.5538,0.2134,0.9388,0.9809
218,0.6026,0.2133,0.9390,0.9808
219,0.6476,0.2133,0.9393,0.9807
220,0.5825,0.2134,0.9395,0.9806
221,0.5524,0.2136,0.9394,0.9806
222,0.5709,0.2136,0.9395,0.9805
223,0.5942,0.2135,0.9396,0.9802
224,0.6181,0.2134,0.9392,0.9803
225,0.5959,0.2134,0.9394,0.9806
226,0.5341,0.2136,0.9398,0.9808
227,0.5433,0.2138,0.9394,0.9808
228,0.6008,0.2140,0.9398,0.9813
229,0.5557,0.2142,0.9402,0.9815
230,0.6053,0.2144,0.9403,0.9817
231,0.6059,0.2146,0.9410,0.9819
232,0.5405,0.2149,0.9415,0.9820
233,0.5346,0.2149,0.9413,0.9817
234,0.5561,0.2150,0.9411,0.9818
235,0.5944,0.2151,0.9409,0.9818
236,0.5881,0.2152,0.9410,0.9818
237,0.5598,0.2154,0.9413,0.9817
238,0.6011,0.2155,0.9416,0.9817
239,0.5546,0.2155,0.9421,0.9819
240,0.5388,0.2155,0.9423,0.9819
241,0.5460,0.2154,0.9426,0.9818
242,0.4991,0.2153,0.9424,0.9816
243,0.5141,0.2154,0.9426,0.9817
244,0.5700,0.2154,0.9425,0.9818
245,0.5660,0.2154,0.9427,0.9815
246,0.5943,0.2153,0.9431,0.9815
247,0.5503,0.2153,0.9434,0.9814
248,0.5012,0.2153,0.9436,0.9814
249,0.5339,0.2154,0.9442,0.9817
250,0.5334,0.2154,0.9437,0.9815
251,0.5348,0.2155,0.9437,0.9816
252,0.5238,0.2155,0.9436,0.9817
253,0.5236,0.2155,0.9434,0.9815
254,0.5292,0.2157,0.9434,0.9818
255,0.5370,0.2159,0.9438,0.9819
256,0.4972,0.2162,0.9437,0.9819
257,0.5250,0.2164,0.9439,0.9819
258,0.5535,0.2166,0.9438,0.9820
259,0.5637,0.2169,0.9439,0.9819
260,0.5114,0.2170,0.9435,0.9821
261,0.5076,0.2171,0.9436,0.9820
262,0.5704,0.2170,0.9439,0.9820
263,0.5187,0.2170,0.9439,0.9821
264,0.5098,0.2171,0.9441,0.9823
265,0.5142,0.2171,0.9439,0.9821
266,0.4977,0.2171,0.9441,0.9820
267,0.5273,0.2169,0.9442,0.9820
268,0.4874,0.2169,0.9443,0.9822
269,0.5209,0.2169,0.9446,0.9825
270,0.5192,0.2169,0.9447,0.9822
271,0.5246,0.2170,0.9441,0.9823
272,0.5447,0.2169,0.9442,0.9824
273,0.5343,0.2169,0.9441,0.9823
274,0.5522,0.2169,0.9443,0.9824
275,0.5085,0.2169,0.9446,0.9823
276,0.5187,0.2169,0.9446,0.9826
277,0.4694,0.2169,0.9448,0.9827
278,0.5093,0.2170,0.9449,0.9828
279,0.5353,0.2171,0.9448,0.9828
280,0.4627,0.2172,0.9449,0.9827
