Standard:
epoch,train_loss,val_loss,val_acc,top2_acc
0,2.0667,2.2720,0.1302,0.2392
1,1.8316,2.2435,0.1733,0.2917
2,1.6644,2.2376,0.1791,0.3042
3,1.5916,2.2265,0.1715,0.3179
4,1.5319,2.1996,0.1823,0.3438
5,1.4790,2.1589,0.2120,0.3737
6,1.4442,2.1055,0.2438,0.3973
7,1.3783,2.0352,0.2744,0.4281
8,1.3632,1.9518,0.3019,0.4731
9,1.3664,1.8625,0.3386,0.5290
10,1.3198,1.7688,0.3826,0.5878
11,1.2830,1.6732,0.4301,0.6427
12,1.2328,1.5818,0.4721,0.6856
13,1.2703,1.4982,0.5087,0.7151
14,1.2221,1.4162,0.5397,0.7443
15,1.1814,1.3402,0.5692,0.7632
16,1.2334,1.2727,0.5933,0.7805
17,1.1785,1.2096,0.6135,0.7961
18,1.2141,1.1507,0.6337,0.8092
19,1.1471,1.0956,0.6499,0.8207
20,1.1180,1.0451,0.6640,0.8317
21,1.1273,0.9992,0.6769,0.8398
22,1.1237,0.9560,0.6892,0.8489
23,1.1128,0.9187,0.6992,0.8567
24,1.1167,0.8846,0.7087,0.8624
25,1.0801,0.8523,0.7193,0.8685
26,1.0822,0.8221,0.7298,0.8727
27,1.0779,0.7920,0.7396,0.8786
28,1.0092,0.7630,0.7481,0.8850
29,1.0272,0.7364,0.7576,0.8900
30,1.0880,0.7117,0.7654,0.8959
31,1.0309,0.6873,0.7734,0.9004
32,1.0201,0.6641,0.7811,0.9043
33,1.0371,0.6413,0.7889,0.9086
34,0.9822,0.6197,0.7969,0.9129
35,1.0060,0.5997,0.8021,0.9183
36,0.9252,0.5802,0.8096,0.9200
37,0.9765,0.5629,0.8147,0.9228
38,1.0173,0.5465,0.8199,0.9262
39,0.9255,0.5311,0.8262,0.9300
40,0.9444,0.5171,0.8307,0.9335
41,0.9772,0.5043,0.8350,0.9363
42,0.9848,0.4922,0.8380,0.9373
43,0.8967,0.4810,0.8413,0.9391
44,0.9024,0.4702,0.8442,0.9414
45,0.9127,0.4600,0.8488,0.9426
46,0.9270,0.4503,0.8510,0.9445
47,0.8913,0.4413,0.8537,0.9464
48,0.8879,0.4331,0.8550,0.9478
49,0.8537,0.4254,0.8583,0.9489
50,0.8914,0.4182,0.8603,0.9507
51,0.9089,0.4114,0.8630,0.9521
52,0.8972,0.4051,0.8647,0.9521
53,0.8653,0.3990,0.8665,0.9534
54,0.9183,0.3934,0.8683,0.9548
55,0.8656,0.3880,0.8691,0.9557
56,0.8434,0.3830,0.8706,0.9567
57,0.8628,0.3782,0.8730,0.9573
58,0.8507,0.3737,0.8745,0.9587
59,0.8242,0.3694,0.8762,0.9593
60,0.8653,0.3653,0.8770,0.9594
61,0.8036,0.3614,0.8778,0.9596
62,0.8252,0.3577,0.8803,0.9592
63,0.8187,0.3543,0.8815,0.9596
64,0.7956,0.3510,0.8829,0.9610
65,0.7959,0.3479,0.8844,0.9610
66,0.7941,0.3451,0.8856,0.9615
67,0.7750,0.3425,0.8860,0.9621
68,0.7727,0.3399,0.8868,0.9625
69,0.8045,0.3376,0.8878,0.9629
70,0.8121,0.3354,0.8889,0.9635
71,0.7712,0.3332,0.8896,0.9640
72,0.8315,0.3312,0.8906,0.9646
73,0.7935,0.3293,0.8915,0.9650
74,0.7402,0.3275,0.8920,0.9657
75,0.7858,0.3259,0.8924,0.9662
76,0.7618,0.3243,0.8937,0.9660
77,0.7560,0.3227,0.8948,0.9656
78,0.7745,0.3213,0.8955,0.9663
79,0.7184,0.3200,0.8963,0.9666
80,0.7335,0.3186,0.8964,0.9664
81,0.7780,0.3174,0.8977,0.9666
82,0.7689,0.3163,0.8990,0.9667
83,0.7622,0.3153,0.8994,0.9669
84,0.7466,0.3143,0.8999,0.9671
85,0.7596,0.3134,0.9000,0.9672
86,0.7237,0.3126,0.9003,0.9675
87,0.7596,0.3119,0.9008,0.9675
88,0.7461,0.3112,0.9009,0.9674
89,0.7223,0.3106,0.9014,0.9675
90,0.7954,0.3100,0.9022,0.9673
91,0.6901,0.3094,0.9023,0.9672
92,0.7689,0.3089,0.9030,0.9679
93,0.7619,0.3085,0.9034,0.9680
94,0.7030,0.3081,0.9036,0.9678
95,0.6954,0.3077,0.9042,0.9682
96,0.7088,0.3073,0.9040,0.9682
97,0.7367,0.3070,0.9037,0.9682
98,0.7535,0.3067,0.9038,0.9685
99,0.7298,0.3064,0.9042,0.9682
100,0.8718,0.3050,0.9043,0.9685
101,0.9441,0.3037,0.9048,0.9686
102,0.9025,0.3025,0.9048,0.9687
103,0.9609,0.3016,0.9054,0.9687
104,0.9162,0.3007,0.9055,0.9687
105,0.9643,0.2998,0.9065,0.9690
106,0.9263,0.2990,0.9060,0.9698
107,0.9104,0.2984,0.9065,0.9696
108,0.9035,0.2978,0.9071,0.9697
109,0.9212,0.2974,0.9072,0.9700
110,0.8556,0.2971,0.9072,0.9695
111,0.9165,0.2965,0.9072,0.9699
112,0.8571,0.2962,0.9071,0.9701
113,0.8962,0.2957,0.9068,0.9700
114,0.8659,0.2950,0.9058,0.9699
115,0.8508,0.2942,0.9058,0.9697
116,0.8783,0.2933,0.9060,0.9700
117,0.8795,0.2925,0.9063,0.9701
118,0.8628,0.2919,0.9072,0.9699
119,0.8878,0.2912,0.9079,0.9699
120,0.9053,0.2905,0.9078,0.9701
121,0.8735,0.2898,0.9081,0.9697
122,0.8304,0.2892,0.9082,0.9699
123,0.8791,0.2887,0.9079,0.9703
124,0.8578,0.2881,0.9084,0.9703
125,0.8744,0.2876,0.9086,0.9701
126,0.8513,0.2872,0.9091,0.9700
127,0.8121,0.2866,0.9097,0.9703
128,0.8582,0.2859,0.9096,0.9701
129,0.9182,0.2854,0.9094,0.9706
130,0.8205,0.2850,0.9091,0.9706
131,0.8698,0.2845,0.9094,0.9705
132,0.8287,0.2843,0.9092,0.9702
133,0.8937,0.2841,0.9091,0.9701
134,0.7888,0.2837,0.9095,0.9700
135,0.8410,0.2836,0.9098,0.9699
136,0.8235,0.2833,0.9105,0.9699
137,0.7843,0.2828,0.9112,0.9703
138,0.8179,0.2824,0.9114,0.9702
139,0.8458,0.2824,0.9105,0.9703
140,0.7979,0.2824,0.9112,0.9699
141,0.8254,0.2823,0.9111,0.9699
142,0.7896,0.2823,0.9115,0.9701
143,0.7687,0.2823,0.9112,0.9700
144,0.7996,0.2821,0.9118,0.9703
145,0.7836,0.2819,0.9124,0.9705
146,0.7942,0.2816,0.9126,0.9705
147,0.7896,0.2813,0.9132,0.9705
148,0.8227,0.2808,0.9137,0.9705
149,0.8409,0.2804,0.9138,0.9705
150,0.8263,0.2798,0.9141,0.9710
151,0.8438,0.2794,0.9142,0.9710
152,0.8440,0.2787,0.9148,0.9711
153,0.7881,0.2782,0.9153,0.9716
154,0.8047,0.2778,0.9152,0.9718
155,0.7489,0.2774,0.9155,0.9720
156,0.7754,0.2770,0.9154,0.9720
157,0.7380,0.2769,0.9164,0.9719
158,0.7830,0.2768,0.9165,0.9722
159,0.7600,0.2762,0.9160,0.9724
160,0.7493,0.2757,0.9162,0.9723
161,0.7451,0.2753,0.9166,0.9722
162,0.7310,0.2749,0.9172,0.9721
163,0.7374,0.2745,0.9177,0.9725
164,0.7634,0.2740,0.9172,0.9726
165,0.7784,0.2736,0.9182,0.9730
166,0.7426,0.2734,0.9182,0.9731
167,0.7410,0.2734,0.9188,0.9736
168,0.7124,0.2730,0.9187,0.9734
169,0.7806,0.2725,0.9192,0.9737
170,0.7668,0.2724,0.9200,0.9736
171,0.7438,0.2722,0.9202,0.9734
172,0.7465,0.2720,0.9201,0.9733
173,0.7542,0.2718,0.9199,0.9732
174,0.7543,0.2712,0.9205,0.9736
175,0.7030,0.2704,0.9209,0.9736
176,0.7331,0.2700,0.9218,0.9738
177,0.6778,0.2697,0.9214,0.9738
178,0.7453,0.2694,0.9214,0.9742
179,0.7623,0.2690,0.9211,0.9746
180,0.7541,0.2686,0.9211,0.9747
181,0.7201,0.2682,0.9212,0.9749
182,0.6821,0.2679,0.9207,0.9751
183,0.7188,0.2674,0.9209,0.9751
184,0.6927,0.2672,0.9215,0.9753
185,0.7281,0.2669,0.9220,0.9754
186,0.7046,0.2666,0.9219,0.9750
187,0.6885,0.2664,0.9226,0.9747
188,0.6971,0.2659,0.9223,0.9749
189,0.6781,0.2654,0.9225,0.9748
190,0.6774,0.2650,0.9232,0.9747
191,0.7126,0.2646,0.9233,0.9750
192,0.7321,0.2642,0.9239,0.9750
193,0.6555,0.2639,0.9241,0.9750
194,0.7072,0.2635,0.9242,0.9749
195,0.7147,0.2633,0.9244,0.9750
196,0.6971,0.2633,0.9244,0.9750
197,0.6953,0.2632,0.9240,0.9754
198,0.6759,0.2631,0.9233,0.9757
199,0.6680,0.2631,0.9234,0.9760
200,0.7235,0.2631,0.9240,0.9760
201,0.6701,0.2632,0.9239,0.9762
202,0.6753,0.2633,0.9240,0.9761
203,0.6836,0.2630,0.9241,0.9761
204,0.6870,0.2629,0.9241,0.9759
205,0.7212,0.2630,0.9241,0.9760
206,0.6598,0.2630,0.9239,0.9759
207,0.6456,0.2628,0.9244,0.9759
208,0.7159,0.2629,0.9244,0.9759
209,0.6954,0.2632,0.9247,0.9762
210,0.6677,0.2635,0.9248,0.9760
211,0.6629,0.2637,0.9260,0.9761
212,0.6617,0.2639,0.9257,0.9765
213,0.6584,0.2641,0.9262,0.9758
214,0.6324,0.2643,0.9268,0.9761
215,0.6710,0.2646,0.9268,0.9764
216,0.6421,0.2649,0.9267,0.9763
217,0.6384,0.2653,0.9266,0.9764
218,0.6677,0.2656,0.9270,0.9762
219,0.6688,0.2658,0.9269,0.9764
220,0.6555,0.2661,0.9273,0.9764
221,0.6638,0.2664,0.9270,0.9763
222,0.6505,0.2668,0.9270,0.9763
223,0.6800,0.2671,0.9273,0.9762
224,0.6268,0.2673,0.9275,0.9764
225,0.6362,0.2673,0.9276,0.9763
226,0.6191,0.2675,0.9279,0.9762
227,0.6088,0.2678,0.9273,0.9763
228,0.6335,0.2681,0.9273,0.9765
229,0.6168,0.2681,0.9267,0.9767
230,0.6417,0.2682,0.9270,0.9768
231,0.6576,0.2684,0.9275,0.9766
232,0.6006,0.2684,0.9279,0.9768
233,0.6371,0.2685,0.9276,0.9770
234,0.5880,0.2687,0.9281,0.9768
235,0.6497,0.2689,0.9281,0.9769
236,0.6493,0.2690,0.9278,0.9767
237,0.6479,0.2692,0.9283,0.9764
238,0.6274,0.2694,0.9284,0.9763
239,0.6378,0.2694,0.9286,0.9763
240,0.6213,0.2695,0.9286,0.9764
241,0.6628,0.2695,0.9283,0.9765
242,0.6004,0.2697,0.9283,0.9765
243,0.5952,0.2699,0.9282,0.9764
244,0.6022,0.2701,0.9292,0.9762
245,0.5694,0.2704,0.9289,0.9765
246,0.6188,0.2704,0.9284,0.9766
247,0.5639,0.2704,0.9284,0.9766
248,0.5628,0.2705,0.9286,0.9766
249,0.5637,0.2707,0.9290,0.9765
250,0.5897,0.2709,0.9290,0.9761
251,0.5971,0.2710,0.9291,0.9762
252,0.5750,0.2711,0.9295,0.9760
253,0.5718,0.2713,0.9296,0.9760
254,0.5517,0.2714,0.9299,0.9759
255,0.5538,0.2716,0.9297,0.9758
256,0.5361,0.2719,0.9296,0.9759
257,0.5625,0.2721,0.9296,0.9757
258,0.5651,0.2724,0.9298,0.9757
259,0.5935,0.2727,0.9297,0.9757
260,0.5865,0.2731,0.9300,0.9758
261,0.5931,0.2734,0.9298,0.9756
262,0.5792,0.2737,0.9300,0.9758
263,0.5629,0.2740,0.9298,0.9760
264,0.5487,0.2744,0.9295,0.9758
265,0.6096,0.2747,0.9290,0.9760
266,0.5407,0.2749,0.9290,0.9761
267,0.5666,0.2751,0.9288,0.9759
268,0.6288,0.2754,0.9289,0.9756
269,0.5574,0.2756,0.9287,0.9755
270,0.5355,0.2759,0.9290,0.9755
271,0.5179,0.2760,0.9289,0.9754
272,0.5693,0.2763,0.9290,0.9755
273,0.5196,0.2767,0.9295,0.9751
274,0.5682,0.2770,0.9290,0.9751
275,0.5483,0.2772,0.9294,0.9751
276,0.5719,0.2776,0.9294,0.9752
277,0.5272,0.2778,0.9295,0.9753
278,0.5390,0.2781,0.9290,0.9754
279,0.6017,0.2784,0.9295,0.9752
280,0.5690,0.2787,0.9293,0.9751
281,0.5564,0.2791,0.9294,0.9751
282,0.5856,0.2793,0.9295,0.9752
283,0.5357,0.2796,0.9297,0.9753
284,0.5418,0.2799,0.9297,0.9753
285,0.5468,0.2802,0.9297,0.9753
286,0.5207,0.2804,0.9295,0.9752
287,0.5187,0.2807,0.9294,0.9752
288,0.5500,0.2809,0.9294,0.9752
289,0.5965,0.2811,0.9298,0.9753
290,0.5878,0.2814,0.9298,0.9753
291,0.5270,0.2816,0.9297,0.9754
292,0.5500,0.2819,0.9297,0.9754
293,0.5623,0.2821,0.9298,0.9753
294,0.5886,0.2823,0.9298,0.9751
295,0.5945,0.2825,0.9299,0.9752
296,0.5674,0.2827,0.9300,0.9750
297,0.5770,0.2829,0.9298,0.9749
298,0.5437,0.2831,0.9299,0.9750
299,0.6200,0.2833,0.9297,0.9750
300,0.7501,0.2816,0.9297,0.9749
301,0.7467,0.2791,0.9302,0.9752
302,0.7403,0.2771,0.9301,0.9754
303,0.7924,0.2752,0.9299,0.9758
304,0.7686,0.2734,0.9305,0.9759
305,0.7631,0.2721,0.9307,0.9762
306,0.7741,0.2708,0.9305,0.9764
307,0.8082,0.2692,0.9310,0.9766
308,0.7734,0.2676,0.9315,0.9771
309,0.7877,0.2664,0.9312,0.9769
310,0.7813,0.2652,0.9311,0.9771
311,0.8022,0.2644,0.9306,0.9767
312,0.7312,0.2640,0.9308,0.9763
313,0.7162,0.2632,0.9303,0.9763
314,0.7734,0.2624,0.9309,0.9762
315,0.7317,0.2617,0.9312,0.9762
316,0.7700,0.2610,0.9311,0.9762
317,0.7388,0.2604,0.9314,0.9762
318,0.7955,0.2599,0.9316,0.9764
319,0.7942,0.2594,0.9308,0.9761
320,0.7793,0.2592,0.9307,0.9762
321,0.7462,0.2589,0.9296,0.9761
322,0.7872,0.2584,0.9300,0.9765
323,0.8103,0.2573,0.9297,0.9764
324,0.7543,0.2566,0.9300,0.9765
325,0.7350,0.2561,0.9306,0.9767
326,0.7826,0.2557,0.9308,0.9768
327,0.7336,0.2550,0.9310,0.9770
328,0.7501,0.2540,0.9308,0.9768
329,0.7664,0.2536,0.9309,0.9764
330,0.7055,0.2533,0.9306,0.9768
331,0.8157,0.2529,0.9310,0.9767
332,0.6994,0.2524,0.9306,0.9766
333,0.7269,0.2517,0.9307,0.9767
334,0.7398,0.2512,0.9306,0.9766
335,0.7816,0.2510,0.9307,0.9765
336,0.7404,0.2507,0.9305,0.9765
337,0.7530,0.2506,0.9305,0.9765
338,0.7405,0.2507,0.9306,0.9766
339,0.7396,0.2508,0.9306,0.9767
340,0.7386,0.2506,0.9310,0.9767
341,0.7439,0.2506,0.9306,0.9762
342,0.7256,0.2506,0.9303,0.9763
343,0.6553,0.2509,0.9300,0.9764
344,0.7144,0.2509,0.9296,0.9765
345,0.7560,0.2506,0.9300,0.9763
346,0.7076,0.2508,0.9300,0.9761
347,0.7298,0.2512,0.9299,0.9760
348,0.7198,0.2514,0.9292,0.9761
349,0.7093,0.2512,0.9291,0.9761
350,0.7169,0.2511,0.9294,0.9756

Hybrid:
epoch,train_loss,val_loss,val_acc,top2_acc
0,2.1069,2.2534,0.1988,0.3515
1,1.8586,2.1390,0.2379,0.3870
2,1.6992,2.0866,0.2401,0.4091
3,1.5921,2.0679,0.2255,0.4243
4,1.5194,2.0601,0.2198,0.4155
5,1.4485,2.0526,0.2209,0.4147
6,1.4405,2.0465,0.2228,0.4193
7,1.3784,2.0276,0.2329,0.4340
8,1.3627,2.0100,0.2434,0.4459
