Epoch 38: train_loss=0.4568, val_loss=1.1487, train_pixel_acc=0.8861, val_pixel_acc=0.7542, train_miou=0.7482, val_miou=0.5727, lr=1.607148e-04
Epoch 39: train_loss=0.4313, val_loss=1.1350, train_pixel_acc=0.8924, val_pixel_acc=0.7632, train_miou=0.7597, val_miou=0.5804, lr=1.585478e-04
Epoch 40: train_loss=0.4007, val_loss=1.1179, train_pixel_acc=0.8998, val_pixel_acc=0.7702, train_miou=0.7715, val_miou=0.5886, lr=1.563381e-04
Epoch 41: train_loss=0.3710, val_loss=1.1087, train_pixel_acc=0.9054, val_pixel_acc=0.7747, train_miou=0.7815, val_miou=0.5947, lr=1.540875e-04
Epoch 42: train_loss=0.3467, val_loss=1.0985, train_pixel_acc=0.9110, val_pixel_acc=0.7814, train_miou=0.7893, val_miou=0.6039, lr=1.517976e-04
Epoch 43: train_loss=0.3236, val_loss=1.0960, train_pixel_acc=0.9159, val_pixel_acc=0.7856, train_miou=0.7996, val_miou=0.6117, lr=1.494701e-04
Epoch 44: train_loss=0.3017, val_loss=1.1047, train_pixel_acc=0.9196, val_pixel_acc=0.7918, train_miou=0.8043, val_miou=0.6160, lr=1.471066e-04
Epoch 45: train_loss=0.2803, val_loss=1.1136, train_pixel_acc=0.9239, val_pixel_acc=0.7940, train_miou=0.8140, val_miou=0.6200, lr=1.447090e-04
Epoch 46: train_loss=0.2613, val_loss=1.1275, train_pixel_acc=0.9291, val_pixel_acc=0.7960, train_miou=0.8233, val_miou=0.6239, lr=1.422790e-04
Epoch 47: train_loss=0.2469, val_loss=1.1470, train_pixel_acc=0.9324, val_pixel_acc=0.7965, train_miou=0.8304, val_miou=0.6253, lr=1.398183e-04
Epoch 48: train_loss=0.2340, val_loss=1.1637, train_pixel_acc=0.9347, val_pixel_acc=0.7970, train_miou=0.8353, val_miou=0.6249, lr=1.373287e-04
Epoch 49: train_loss=0.2233, val_loss=1.1826, train_pixel_acc=0.9374, val_pixel_acc=0.7986, train_miou=0.8392, val_miou=0.6261, lr=1.348122e-04
Epoch 50: train_loss=0.2140, val_loss=1.1988, train_pixel_acc=0.9403, val_pixel_acc=0.8012, train_miou=0.8431, val_miou=0.6332, lr=1.322705e-04
Epoch 51: train_loss=0.2027, val_loss=1.2124, train_pixel_acc=0.9435, val_pixel_acc=0.8026, train_miou=0.8460, val_miou=0.6369, lr=1.297055e-04
Epoch 52: train_loss=0.1922, val_loss=1.2294, train_pixel_acc=0.9471, val_pixel_acc=0.8034, train_miou=0.8536, val_miou=0.6363, lr=1.271191e-04
Epoch 53: train_loss=0.1820, val_loss=1.2516, train_pixel_acc=0.9501, val_pixel_acc=0.8019, train_miou=0.8592, val_miou=0.6365, lr=1.245131e-04
Epoch 54: train_loss=0.1719, val_loss=1.2566, train_pixel_acc=0.9526, val_pixel_acc=0.8012, train_miou=0.8658, val_miou=0.6353, lr=1.218896e-04
Epoch 55: train_loss=0.1637, val_loss=1.2776, train_pixel_acc=0.9552, val_pixel_acc=0.8020, train_miou=0.8709, val_miou=0.6360, lr=1.192503e-04
Epoch 56: train_loss=0.1561, val_loss=1.2950, train_pixel_acc=0.9573, val_pixel_acc=0.8021, train_miou=0.8755, val_miou=0.6345, lr=1.165973e-04
Epoch 57: train_loss=0.1496, val_loss=1.3185, train_pixel_acc=0.9592, val_pixel_acc=0.8018, train_miou=0.8799, val_miou=0.6320, lr=1.139325e-04
Epoch 58: train_loss=0.1431, val_loss=1.3372, train_pixel_acc=0.9610, val_pixel_acc=0.8014, train_miou=0.8841, val_miou=0.6331, lr=1.112578e-04
Epoch 59: train_loss=0.1367, val_loss=1.3516, train_pixel_acc=0.9628, val_pixel_acc=0.8015, train_miou=0.8879, val_miou=0.6321, lr=1.085753e-04
Epoch 60: train_loss=0.1315, val_loss=1.3675, train_pixel_acc=0.9647, val_pixel_acc=0.8014, train_miou=0.8923, val_miou=0.6320, lr=1.058868e-04
Epoch 61: train_loss=0.1262, val_loss=1.3939, train_pixel_acc=0.9665, val_pixel_acc=0.8019, train_miou=0.8978, val_miou=0.6302, lr=1.031944e-04
Epoch 62: train_loss=0.1209, val_loss=1.4228, train_pixel_acc=0.9672, val_pixel_acc=0.8021, train_miou=0.8980, val_miou=0.6313, lr=1.005000e-04
Epoch 63: train_loss=0.1167, val_loss=1.4540, train_pixel_acc=0.9684, val_pixel_acc=0.8028, train_miou=0.9006, val_miou=0.6309, lr=9.780560e-05
